,pot
645,73
646,75
647,77
648,75
649,73
650,76
651,71
652,60
653,64
654,64
655,72
656,76
657,74
658,75
659,75
660,71
661,62
662,89
663,76
664,81
665,77
666,73
667,74
668,67
669,68
670,78
671,74
672,77
673,73
674,76
675,68
676,70
677,67
678,66
679,64
680,75
681,89
682,72
683,70
684,65
685,75
686,70
687,76
688,69
689,77
690,65
691,67
692,70
693,75
694,78
695,67
696,65
697,65
698,68
699,72
700,74
701,65
702,71
703,70
704,65
705,66
706,75
707,69
708,74
709,74
710,73
711,64
712,66
713,65
714,71
715,69
716,68
717,81
718,81
719,72
720,72
721,75
722,71
723,62
724,65
725,68
726,66
727,71
728,66
729,52
730,77
731,75
732,67
733,68
734,69
735,72
736,82
737,72
738,70
739,69
740,73
741,68
742,73
743,69
744,68
745,68
746,72
747,67
748,70
749,69
750,65
751,79
752,93
753,79
754,77
755,73
756,74
757,67
758,70
759,76
760,68
761,67
762,69
763,73
764,66
765,74
766,71
767,69
768,76
769,66
770,69
771,76
772,78
773,72
774,73
775,75
776,73
777,70
778,72
779,74
780,67
781,74
782,71
783,75
784,71
785,77
786,70
787,66
788,80
789,69
790,67
791,80
792,78
793,75
794,70
795,77
796,64
797,68
798,73
799,80
800,78
801,64
802,73
803,70
804,66
805,62
806,67
807,65
808,62
809,67
810,67
811,70
812,61
813,66
814,76
815,69
816,70
817,77
818,70
819,75
820,73
821,66
822,67
823,75
824,74
825,75
826,69
827,76
828,77
829,74
830,66
831,67
832,66
833,73
834,75
835,64
836,75
837,69
838,80
839,65
840,75
841,73
842,64
843,73
844,74
845,83
846,64
847,75
848,73
849,64
850,88
851,71
852,71
853,75
854,63
855,67
856,65
857,70
858,67
859,71
860,63
861,68
862,73
863,73
864,65
865,79
866,71
867,67
868,72
869,73
870,78
871,71
872,77
873,67
874,67
875,64
876,68
877,64
878,71
879,72
880,74
881,81
882,65
883,67
884,64
885,84
886,70
887,68
888,69
889,66
890,75
891,74
892,65
893,74
894,83
895,78
896,70
897,60
898,68
899,69
900,74
901,69
902,70
903,72
904,75
905,78
906,71
907,72
908,74
909,85
910,85
911,75
912,75
913,78
914,73
915,69
916,74
917,64
918,77
919,69
920,70
921,71
922,72
923,73
924,72
925,67
926,68
927,67
928,67
929,70
930,60
931,68
932,70
933,74
934,81
935,74
936,70
937,68
938,76
939,73
940,73
941,70
942,73
943,74
944,70
945,78
946,89
947,74
948,67
949,70
950,79
951,75
952,74
953,73
954,64
955,68
956,73
957,59
958,65
959,70
960,76
961,62
962,63
963,73
964,71
965,74
966,74
967,76
968,74
969,82
970,72
971,74
972,70
973,69
974,73
975,62
976,69
977,74
978,72
979,71
980,71
981,83
982,73
983,68
984,63
985,68
986,74
987,78
988,74
989,58
990,68
991,69
992,67
993,66
994,64
995,68
996,61
997,67
998,66
999,75
1000,64
1001,76
1002,68
1003,80
1004,67
1005,65
1006,73
1007,70
1008,64
1009,72
1010,89
1011,66
1012,76
1013,64
1014,67
1015,72
1016,73
1017,75
1018,73
1019,70
1020,71
1021,81
1022,83
1023,75
1024,72
1025,73
1026,67
1027,70
1028,73
1029,67
1030,69
1031,67
1032,77
1033,64
1034,69
1035,71
1036,76
1037,87
1038,74
1039,73
1040,73
1041,77
1042,72
1043,74
1044,70
1045,70
1046,84
1047,77
1048,75
1049,64
1050,86
1051,75
1052,78
1053,69
1054,73
1055,71
1056,79
1057,80
1058,76
1059,64
1060,69
1061,82
1062,70
1063,63
1064,64
1065,69
1066,69
1067,70
1068,70
1069,74
1070,72
1071,67
1072,64
1073,75
1074,72
1075,69
1076,75
1077,83
1078,66
1079,72
1080,74
1081,70
1082,70
1083,75
1084,68
1085,73
1086,65
1087,71
1088,66
1089,64
1090,83
1091,69
1092,73
1093,69
1094,58
1095,65
1096,65
1097,69
1098,65
1099,69
1100,67
1101,74
1102,64
1103,63
1104,69
1105,67
1106,80
1107,65
1108,66
1109,79
1110,70
1111,70
1112,69
1113,66
1114,72
1115,67
1116,75
1117,78
1118,77
1119,71
1120,69
1121,68
1122,71
1123,76
1124,69
1125,60
1126,61
1127,62
1128,69
1129,65
1130,67
1131,63
1132,71
1133,62
1134,75
1135,60
1136,74
1137,64
1138,64
1139,64
1140,66
1141,74
1142,70
1143,80
1144,73
1145,77
1146,66
1147,83
1148,80
1149,68
1150,67
1151,70
1152,75
1153,64
1154,72
1155,74
1156,78
1157,74
1158,76
1159,75
1160,76
1161,72
1162,64
1163,83
1164,71
1165,71
1166,74
1167,61
1168,67
1169,64
1170,67
1171,68
1172,68
1173,67
1174,70
1175,66
1176,73
1177,67
1178,69
1179,80
1180,71
1181,77
1182,78
1183,75
1184,69
1185,67
1186,77
1187,76
1188,81
1189,75
1190,78
1191,77
1192,75
1193,75
1194,61
1195,65
1196,72
1197,73
1198,73
1199,76
1200,69
1201,61
1202,74
1203,79
1204,74
1205,75
1206,74
1207,70
1208,64
1209,76
1210,67
1211,72
1212,70
1213,69
1214,71
1215,75
1216,75
1217,75
1218,64
1219,72
1220,71
1221,73
1222,80
1223,73
1224,69
1225,76
1226,71
1227,73
1228,62
1229,73
1230,75
1231,67
1232,74
1233,65
1234,72
1235,62
1236,65
1237,65
1238,72
1239,70
1240,70
1241,69
1242,65
1243,75
1244,83
1245,79
1246,70
1247,63
1248,74
1249,72
1250,62
1251,74
1252,73
1253,78
1254,71
1255,70
1256,69
1257,73
1258,71
1259,71
1260,69
1261,67
1262,71
1263,81
1264,71
1265,78
1266,84
1267,78
1268,78
1269,65
1270,72
1271,80
1272,60
1273,81
1274,77
1275,70
1276,69
1277,76
1278,67
1279,81
1280,65
1281,67
1282,68
1283,61
1284,76
1285,76
1286,68
1287,63
1288,56
1289,64
1290,67
1291,67
1292,63
1293,72
1294,83
1295,70
1296,67
1297,80
1298,65
1299,75
1300,62
1301,73
1302,67
1303,65
1304,78
1305,75
1306,77
1307,69
1308,73
1309,68
1310,66
1311,69
1312,65
1313,65
1314,78
1315,71
1316,65
1317,79
1318,68
1319,72
1320,68
1321,70
1322,68
1323,64
1324,68
1325,68
1326,75
1327,76
1328,69
1329,73
1330,65
1331,85
1332,73
1333,62
1334,70
1335,68
1336,75
1337,69
1338,73
1339,67
1340,68
1341,72
1342,68
1343,73
1344,71
1345,67
1346,70
1347,74
1348,67
1349,63
1350,84
1351,75
1352,70
1353,70
1354,78
1355,72
1356,69
1357,69
1358,77
1359,72
1360,71
1361,73
1362,77
1363,64
1364,72
1365,63
1366,69
1367,71
1368,73
1369,79
1370,73
1371,76
1372,67
1373,87
1374,66
1375,62
1376,65
1377,79
1378,71
1379,72
1380,82
1381,64
1382,83
1383,70
1384,72
1385,71
1386,71
1387,76
1388,81
1389,72
1390,82
1391,76
1392,69
1393,75
1394,72
1395,68
1396,74
1397,68
1398,64
1399,75
1400,79
1401,64
1402,79
1403,62
1404,70
1405,75
1406,76
1407,74
1408,64
1409,73
1410,77
1411,87
1412,75
1413,80
1414,68
1415,69
1416,63
1417,70
1418,72
1419,73
1420,68
1421,73
1422,70
1423,62
1424,75
1425,90
1426,91
1427,90
1428,72
1429,72
1430,62
1431,66
1432,73
1433,64
1434,68
1435,79
1436,76
1437,68
1438,82
1439,62
1440,71
1441,78
1442,73
1443,84
1444,64
1445,74
1446,82
1447,81
1448,71
1449,71
1450,65
1451,68
1452,66
1453,86
1454,65
1455,77
1456,67
1457,70
1458,74
1459,70
1460,72
1461,72
1462,64
1463,75
1464,66
1465,65
1466,72
1467,72
1468,65
1469,80
1470,80
1471,68
1472,68
1473,81
1474,63
1475,71
1476,79
1477,81
1478,69
1479,74
1480,72
1481,71
1482,61
1483,86
1484,68
1485,63
1486,66
1487,72
1488,74
1489,76
1490,73
1491,72
1492,66
1493,68
1494,73
1495,80
1496,85
1497,72
1498,64
1499,74
1500,69
1501,67
1502,74
1503,70
1504,74
1505,84
1506,77
1507,71
1508,69
1509,71
1510,71
1511,73
1512,79
1513,80
1514,72
1515,79
1516,75
1517,75
1518,72
1519,73
1520,70
1521,75
1522,71
1523,67
1524,65
1525,78
1526,77
1527,69
1528,78
1529,70
1530,75
1531,76
1532,68
1533,69
1534,69
1535,70
1536,67
1537,71
1538,79
1539,75
1540,73
1541,80
1542,71
1543,77
1544,76
1545,67
1546,71
1547,66
1548,79
1549,72
1550,67
1551,69
1552,70
1553,79
1554,69
1555,83
1556,67
1557,72
1558,83
1559,69
1560,72
1561,74
1562,72
1563,64
1564,68
1565,63
1566,86
1567,74
1568,71
1569,66
1570,74
1571,70
1572,82
1573,63
1574,66
1575,75
1576,76
1577,71
1578,63
1579,67
1580,75
1581,70
1582,64
1583,73
1584,76
1585,68
1586,66
1587,72
1588,64
1589,75
1590,67
1591,77
1592,71
1593,71
1594,80
1595,70
1596,65
1597,66
1598,71
1599,72
1600,69
1601,72
1602,67
1603,70
1604,62
1605,67
1606,69
1607,72
1608,72
1609,77
1610,79
1611,77
1612,86
1613,72
1614,80
1615,81
1616,77
1617,65
1618,62
1619,64
1620,74
1621,71
1622,62
1623,65
1624,68
1625,80
1626,75
1627,72
1628,58
1629,66
1630,67
1631,80
1632,85
1633,79
1634,73
1635,69
1636,69
1637,73
1638,72
1639,67
1640,64
1641,76
1642,62
1643,73
1644,82
1645,70
1646,78
1647,59
1648,69
1649,73
1650,74
1651,78
1652,68
1653,64
1654,65
1655,68
1656,74
1657,74
1658,77
1659,74
1660,78
1661,65
1662,83
1663,77
1664,65
1665,66
1666,76
1667,65
1668,71
1669,65
1670,72
1671,72
1672,72
1673,75
1674,68
1675,85
1676,75
1677,64
1678,68
1679,68
1680,71
1681,72
1682,74
1683,72
1684,64
1685,73
1686,68
1687,73
1688,82
1689,72
1690,71
1691,56
1692,74
1693,71
1694,70
1695,67
1696,69
1697,72
1698,73
1699,70
1700,69
1701,59
1702,65
1703,70
1704,83
1705,79
1706,73
1707,77
1708,67
1709,83
1710,60
1711,63
1712,69
1713,68
1714,72
1715,79
1716,71
1717,63
1718,70
1719,66
1720,77
1721,61
1722,75
1723,76
1724,65
1725,74
1726,70
1727,74
1728,75
1729,67
1730,75
1731,71
1732,69
1733,71
1734,73
1735,59
1736,59
1737,67
1738,59
1739,67
1740,71
1741,67
1742,63
1743,64
1744,70
1745,69
1746,55
1747,71
1748,62
1749,85
1750,82
1751,76
1752,71
1753,88
1754,69
1755,76
1756,73
1757,75
1758,63
1759,70
1760,72
1761,70
1762,67
1763,75
1764,64
1765,74
1766,67
1767,73
1768,67
1769,76
1770,72
1771,64
1772,73
1773,77
1774,71
1775,75
1776,77
1777,74
1778,61
1779,65
1780,71
1781,79
1782,64
1783,76
1784,76
1785,76
1786,66
1787,74
1788,70
1789,73
1790,67
1791,66
1792,71
1793,70
1794,69
1795,67
1796,70
1797,62
1798,73
1799,66
1800,88
1801,75
1802,66
1803,70
1804,76
1805,72
1806,69
1807,71
1808,71
1809,73
1810,68
1811,70
1812,74
1813,64
1814,78
1815,78
1816,75
1817,71
1818,74
1819,79
1820,64
1821,66
1822,65
1823,70
1824,64
1825,76
1826,77
1827,69
1828,69
1829,67
1830,67
1831,61
1832,72
1833,68
1834,73
1835,68
1836,69
1837,74
1838,76
1839,79
1840,83
1841,66
1842,70
1843,76
1844,76
1845,66
1846,73
1847,66
1848,73
1849,72
1850,67
1851,70
1852,74
1853,75
1854,72
1855,81
1856,76
1857,73
1858,68
1859,64
1860,65
1861,71
1862,75
1863,69
1864,70
1865,75
1866,69
1867,67
1868,70
1869,86
1870,66
1871,74
1872,48
1873,72
1874,71
1875,70
1876,63
1877,62
1878,65
1879,76
1880,65
1881,64
1882,66
1883,69
1884,77
1885,74
1886,76
1887,64
1888,79
1889,72
1890,75
1891,72
1892,87
1893,78
1894,79
1895,82
1896,75
1897,73
1898,68
1899,74
1900,71
1901,73
1902,67
1903,70
1904,73
1905,66
1906,71
1907,70
1908,65
1909,64
1910,66
1911,65
1912,71
1913,72
1914,75
1915,66
1916,77
1917,64
1918,74
1919,67
1920,85
1921,74
1922,72
1923,76
1924,73
1925,83
1926,68
1927,65
1928,76
1929,71
1930,73
1931,76
1932,82
1933,66
1934,70
1935,66
1936,68
1937,67
1938,75
1939,69
1940,64
1941,85
1942,74
1943,67
1944,77
1945,67
1946,65
1947,70
1948,55
1949,64
1950,69
1951,85
1952,65
1953,67
1954,65
1955,62
1956,69
1957,76
1958,70
1959,80
1960,84
1961,67
1962,73
1963,70
1964,73
1965,63
1966,71
1967,71
1968,72
1969,70
1970,79
1971,74
1972,66
1973,67
1974,70
1975,77
1976,61
1977,65
1978,75
1979,66
1980,68
1981,73
1982,67
1983,71
1984,66
1985,77
1986,66
1987,72
1988,67
1989,73
1990,64
1991,65
1992,69
1993,71
1994,62
1995,72
1996,76
1997,64
1998,69
1999,66
2000,65
2001,76
2002,75
2003,66
2004,79
2005,70
2006,73
2007,67
2008,80
2009,80
2010,80
2011,77
2012,69
2013,72
2014,76
2015,77
2016,71
2017,68
2018,84
2019,74
2020,68
2021,71
2022,82
2023,68
2024,85
2025,77
2026,70
2027,71
2028,66
2029,76
2030,77
2031,72
2032,80
2033,76
2034,68
2035,71
2036,75
2037,61
2038,70
2039,71
2040,77
2041,72
2042,77
2043,75
2044,69
2045,75
2046,69
2047,63
2048,74
2049,64
2050,65
2051,73
2052,73
2053,66
2054,72
2055,77
2056,74
2057,74
2058,87
2059,75
2060,73
2061,68
2062,65
2063,77
2064,75
2065,76
2066,69
2067,71
2068,77
2069,73
2070,76
2071,83
2072,74
2073,76
2074,66
2075,69
2076,62
2077,70
2078,76
2079,77
2080,71
2081,75
2082,64
2083,64
2084,67
2085,70
2086,72
2087,61
2088,64
2089,70
2090,65
2091,72
2092,73
2093,70
2094,64
2095,79
2096,78
2097,74
2098,71
2099,71
2100,82
2101,67
2102,65
2103,72
2104,79
2105,69
2106,66
2107,75
2108,74
2109,68
2110,71
2111,70
2112,62
2113,73
2114,79
2115,75
2116,70
2117,68
2118,70
2119,70
2120,70
2121,72
2122,77
2123,75
2124,72
2125,74
2126,66
2127,62
2128,70
2129,70
2130,77
2131,71
2132,76
2133,69
2134,57
2135,68
2136,71
2137,70
2138,69
2139,77
2140,73
2141,69
2142,83
2143,68
2144,71
2145,72
2146,67
2147,67
2148,71
2149,66
2150,76
2151,75
2152,68
2153,70
2154,73
2155,68
2156,72
2157,79
2158,80
2159,73
2160,66
2161,66
2162,68
2163,66
2164,69
2165,73
2166,68
2167,70
2168,64
2169,70
2170,68
2171,65
2172,64
2173,71
2174,72
2175,59
2176,67
2177,68
2178,65
2179,78
2180,64
2181,65
2182,75
2183,66
2184,79
2185,70
2186,67
2187,76
2188,68
2189,70
2190,73
2191,70
2192,73
2193,77
2194,70
2195,77
2196,72
2197,79
2198,63
2199,75
2200,73
2201,76
2202,78
2203,81
2204,66
2205,61
2206,76
2207,65
2208,63
2209,66
2210,66
2211,73
2212,79
2213,71
2214,68
2215,83
2216,64
2217,68
2218,72
2219,74
2220,59
2221,66
2222,72
2223,78
2224,78
2225,77
2226,76
2227,70
2228,64
2229,69
2230,66
2231,79
2232,71
2233,68
2234,77
2235,70
2236,79
2237,74
2238,83
2239,72
2240,75
2241,66
2242,75
2243,70
2244,64
2245,64
2246,73
2247,59
2248,68
2249,67
2250,63
2251,76
2252,78
2253,74
2254,71
2255,70
2256,67
2257,75
2258,76
2259,67
2260,72
2261,85
2262,65
2263,73
2264,85
2265,65
2266,66
2267,76
2268,70
2269,74
2270,64
2271,70
2272,73
2273,63
2274,78
2275,71
2276,75
2277,72
2278,64
2279,72
2280,64
2281,72
2282,76
2283,72
2284,72
2285,71
2286,71
2287,91
2288,70
2289,75
2290,87
2291,64
2292,67
2293,74
2294,66
2295,66
2296,70
2297,70
2298,68
2299,69
2300,71
2301,70
2302,69
2303,71
2304,71
2305,67
2306,68
2307,76
2308,71
2309,76
2310,71
2311,74
2312,81
2313,66
2314,65
2315,80
2316,67
2317,75
2318,69
2319,67
2320,71
2321,64
2322,74
2323,67
2324,66
2325,71
2326,71
2327,75
2328,75
2329,76
2330,83
2331,70
2332,62
2333,76
2334,71
2335,67
2336,64
2337,64
2338,79
2339,63
2340,67
2341,71
2342,66
2343,75
2344,79
2345,74
2346,76
2347,72
2348,73
2349,78
2350,64
2351,75
2352,72
2353,66
2354,85
2355,70
2356,66
2357,80
2358,76
2359,70
2360,62
2361,67
2362,72
2363,76
2364,75
2365,65
2366,62
2367,77
2368,73
2369,73
2370,72
2371,68
2372,77
2373,67
2374,68
2375,72
2376,65
2377,68
2378,73
2379,63
2380,74
2381,76
2382,74
2383,73
2384,71
2385,83
2386,77
2387,77
2388,80
2389,70
2390,65
2391,78
2392,69
2393,76
2394,72
2395,75
2396,77
2397,61
2398,86
2399,74
2400,72
2401,66
2402,75
2403,71
2404,76
2405,80
2406,67
2407,64
2408,75
2409,75
2410,71
2411,71
2412,63
2413,74
2414,76
2415,77
2416,73
2417,68
2418,72
2419,74
2420,76
2421,72
2422,72
2423,77
2424,75
2425,71
2426,66
2427,71
2428,63
2429,67
2430,80
2431,75
2432,73
2433,85
2434,69
2435,87
2436,85
2437,72
2438,72
2439,67
2440,68
2441,67
2442,72
2443,69
2444,79
2445,71
2446,76
2447,83
2448,75
2449,68
2450,65
2451,72
2452,86
2453,73
2454,77
2455,73
2456,77
2457,68
2458,63
2459,73
2460,68
2461,70
2462,73
2463,77
2464,79
2465,80
2466,68
2467,66
2468,73
2469,72
2470,70
2471,68
2472,77
2473,67
2474,65
2475,70
2476,75
2477,72
2478,62
2479,68
2480,61
2481,74
2482,80
2483,66
2484,72
2485,61
2486,68
2487,66
2488,63
2489,70
2490,74
2491,76
2492,65
2493,64
2494,79
2495,62
2496,72
2497,63
2498,64
2499,71
2500,70
2501,69
2502,69
2503,70
2504,73
2505,66
2506,65
2507,71
2508,73
2509,72
2510,73
2511,72
2512,73
2513,71
2514,57
2515,75
2516,68
2517,74
2518,67
2519,70
2520,67
2521,69
2522,68
2523,77
2524,77
2525,67
2526,67
2527,79
2528,78
2529,70
2530,74
2531,68
2532,67
2533,66
2534,71
2535,74
2536,74
2537,71
2538,64
2539,63
2540,61
2541,78
2542,77
2543,72
2544,82
2545,70
2546,77
2547,67
2548,76
2549,76
2550,67
2551,65
2552,73
2553,77
2554,72
2555,74
2556,76
2557,65
2558,75
2559,85
2560,73
2561,84
2562,65
2563,67
2564,72
2565,61
2566,68
2567,67
2568,69
2569,72
2570,68
2571,64
2572,74
2573,64
2574,75
2575,67
2576,71
2577,68
2578,75
2579,73
2580,71
2581,71
2582,80
2583,66
2584,75
2585,74
2586,65
2587,70
2588,75
2589,71
2590,75
2591,68
2592,70
2593,77
2594,72
2595,67
2596,80
2597,71
2598,72
2599,68
2600,75
2601,60
2602,70
2603,73
2604,68
2605,70
2606,72
2607,64
2608,73
2609,67
2610,71
2611,64
2612,74
2613,70
2614,69
2615,80
2616,75
2617,65
2618,69
2619,78
2620,61
2621,66
2622,66
2623,62
2624,77
2625,71
2626,65
2627,77
2628,69
2629,66
2630,74
2631,77
2632,71
2633,70
2634,77
2635,72
2636,73
2637,65
2638,66
2639,68
2640,74
2641,79
2642,82
2643,59
2644,66
2645,76
2646,68
2647,75
2648,74
2649,71
2650,91
2651,77
2652,67
2653,75
2654,69
2655,73
2656,72
2657,71
2658,67
2659,83
2660,71
2661,71
2662,66
2663,74
2664,75
2665,81
2666,71
2667,64
2668,69
2669,71
2670,64
2671,77
2672,74
2673,71
2674,85
2675,68
2676,75
2677,75
2678,72
2679,68
2680,69
2681,77
2682,70
2683,70
2684,67
2685,66
2686,67
2687,75
2688,74
2689,67
2690,66
2691,75
2692,73
2693,77
2694,77
2695,69
2696,66
2697,80
2698,75
2699,64
2700,69
2701,66
2702,72
2703,68
2704,73
2705,72
2706,72
2707,60
2708,64
2709,69
2710,70
2711,64
2712,67
2713,75
2714,70
2715,76
2716,76
2717,73
2718,71
2719,78
2720,79
2721,74
2722,64
2723,63
2724,73
2725,76
2726,67
2727,73
2728,70
2729,74
2730,73
2731,65
2732,76
2733,78
2734,80
2735,69
2736,67
2737,73
2738,68
2739,78
2740,75
2741,73
2742,72
2743,69
2744,73
2745,90
2746,70
2747,78
2748,65
2749,68
2750,72
2751,72
2752,75
2753,62
2754,70
2755,74
2756,72
2757,80
2758,67
2759,71
2760,73
2761,64
2762,77
2763,70
2764,74
2765,73
2766,72
2767,80
2768,67
2769,69
2770,68
2771,67
2772,70
2773,72
2774,68
2775,72
2776,62
2777,73
2778,75
2779,75
2780,72
2781,68
2782,66
2783,79
2784,69
2785,75
2786,73
2787,87
2788,74
2789,76
2790,93
2791,71
2792,65
2793,69
2794,63
2795,63
2796,70
2797,62
2798,66
2799,70
2800,79
2801,73
2802,86
2803,63
2804,74
2805,68
2806,78
2807,76
2808,70
2809,67
2810,87
2811,74
2812,63
2813,73
2814,77
2815,64
2816,73
2817,67
2818,73
2819,78
2820,70
2821,79
2822,74
2823,74
2824,71
2825,77
2826,64
2827,66
2828,72
2829,78
2830,67
2831,84
2832,69
2833,81
2834,77
2835,73
2836,60
2837,64
2838,71
2839,70
2840,76
2841,74
2842,75
2843,67
2844,77
2845,80
2846,82
2847,67
2848,76
2849,70
2850,76
2851,70
2852,70
2853,76
2854,84
2855,80
2856,68
2857,78
2858,72
2859,72
2860,80
2861,75
2862,71
2863,72
2864,63
2865,70
2866,73
2867,73
2868,65
2869,69
2870,85
2871,91
2872,64
2873,75
2874,68
2875,75
2876,68
2877,63
2878,87
2879,69
2880,68
2881,66
2882,77
2883,71
2884,65
2885,64
2886,71
2887,86
2888,68
2889,81
2890,61
2891,72
2892,70
2893,67
2894,71
2895,86
2896,64
2897,76
2898,66
2899,65
2900,77
2901,75
2902,75
2903,70
2904,74
2905,78
2906,76
2907,84
2908,66
2909,68
2910,79
2911,71
2912,69
2913,63
2914,71
2915,70
2916,74
2917,63
2918,80
2919,61
2920,66
2921,70
2922,68
2923,62
2924,66
2925,66
2926,73
2927,65
2928,75
2929,72
2930,73
2931,70
2932,71
2933,81
2934,76
2935,83
2936,72
2937,68
2938,64
2939,75
2940,67
2941,83
2942,75
2943,73
2944,71
2945,71
2946,81
2947,65
2948,78
2949,63
2950,64
2951,66
2952,77
2953,67
2954,66
2955,75
2956,67
2957,69
2958,71
2959,71
2960,67
2961,64
2962,74
2963,75
2964,56
2965,74
2966,77
2967,75
2968,84
2969,70
2970,78
2971,70
2972,72
2973,70
2974,70
2975,76
2976,71
2977,65
2978,82
2979,68
2980,77
2981,67
2982,73
2983,71
2984,73
2985,63
2986,71
2987,69
2988,71
2989,71
2990,68
2991,72
2992,78
2993,65
2994,68
2995,67
2996,63
2997,70
